Date,Open,High,Low,Close,Adj Close,Volume
2012-09-28,72.825035,72.937538,71.371910,71.765663,50.414013,5273517
2012-10-01,71.718788,72.618790,71.428162,71.737534,50.394253,2879523
2012-10-03,72.375038,72.543785,71.381287,72.159409,50.690605,5059122
2012-10-04,72.000038,73.875038,71.962532,73.387535,51.553341,5332306
2012-10-05,73.593788,73.696915,73.593788,73.696915,51.770679,10511893
2012-10-08,74.062538,74.062538,72.412537,73.396912,51.559925,5776279
2012-10-09,73.406288,73.837540,71.071907,71.446907,50.190090,8349793
2012-10-10,71.437538,71.681282,69.937531,70.406288,49.459072,5075362
2012-10-11,70.725037,71.400032,69.525032,70.565659,49.571030,7344348
2012-10-12,70.312538,71.437538,64.162529,71.240662,50.045212,5467698
2012-10-15,71.418785,71.418785,69.862534,71.250038,50.051792,2583998
2012-10-16,71.343788,71.353157,70.575035,70.950035,49.841053,2593470
2012-10-17,71.250038,71.250038,69.300034,69.571907,48.872944,5711287
2012-10-18,69.796906,70.303162,68.728157,69.037537,48.497547,6325111
2012-10-19,68.484406,69.375031,66.665657,67.603157,47.489925,7354284
2012-10-22,67.125031,68.193787,67.125031,67.275032,47.259434,4676909
2012-10-23,67.668785,67.668785,66.243782,66.571907,46.765503,2953833
2012-10-25,66.609406,68.062531,66.478157,67.725037,47.575539,5566423
2012-10-29,67.725037,68.812531,67.153160,67.771912,47.608482,4182061
2012-10-30,67.518784,68.053162,66.421906,66.675034,46.837936,2716675
2012-10-31,66.562531,67.068787,65.081284,65.418785,45.955448,4328968
2012-11-01,64.921906,65.775032,64.659409,64.781281,45.507610,8529633
2012-11-02,64.893784,67.593781,64.893784,67.275032,47.259434,5607554
2012-11-05,67.218781,67.621910,66.478157,66.937531,47.022343,3376563
2012-11-06,66.750031,68.475037,66.750031,68.212532,47.917995,5087698
2012-11-07,68.418785,68.943787,67.743782,68.643784,48.220955,2688222
2012-11-08,68.250031,68.531281,66.581284,67.237534,47.233089,5711730
2012-11-09,67.462532,67.781281,66.215660,66.562531,46.758907,2501588
2012-11-11,null,null,null,null,null,null
2012-11-12,66.768784,67.659409,65.840660,66.028160,46.383522,4810466
2012-11-15,65.531281,67.687531,65.484406,66.384407,46.633781,9068758
2012-11-16,65.962532,66.375031,64.687531,64.931282,45.612988,5285832
2012-11-19,64.612534,65.559410,63.853157,64.228157,45.119053,3832606
2012-11-20,64.209404,65.390656,64.153160,64.509407,45.316624,3824915
2012-11-21,64.518784,65.231285,64.143784,64.968781,45.639328,3483571
2012-11-22,65.062531,65.775032,64.565659,65.128159,45.751289,3354963
2012-11-23,65.156281,65.381279,63.562531,63.731281,44.770012,4207704
2012-11-26,64.256279,64.256279,62.906281,63.187531,44.388035,2955187
2012-11-27,63.262531,64.218781,63.150032,63.684406,44.737083,5023554
2012-11-29,63.656281,64.875031,63.656281,64.584404,45.369320,6697479
2012-11-30,64.171906,66.740662,63.984406,66.253159,46.541588,6965436
2012-12-03,66.187531,66.928162,65.146904,65.353157,45.909344,5281389
2012-12-04,65.268784,66.459412,65.268784,66.056282,46.403278,2693849
2012-12-05,66.281281,66.562531,66.046906,66.337532,46.600857,4969821
2012-12-06,66.140656,66.543785,65.353157,66.337532,46.600857,1932089
2012-12-07,66.215660,66.375031,65.906281,66.159409,46.475719,3687438
2012-12-10,66.187531,67.171906,66.000031,66.440659,46.673298,3998051
2012-12-11,66.421906,66.909409,65.831284,66.553162,46.752327,2589246
2012-12-12,66.440659,66.562531,64.771904,65.212532,45.810558,4199917
2012-12-13,65.212532,66.450035,64.650032,65.175034,45.784214,3301438
2012-12-14,65.109406,65.662529,64.743782,64.959404,45.632748,2818654
2012-12-17,64.359406,65.175034,64.265656,64.528160,45.329803,2734057
2012-12-18,64.706284,65.587532,64.500031,65.053154,45.698605,5715458
2012-12-19,65.268784,65.962532,65.025032,65.606285,46.087166,3613875
2012-12-20,65.962532,66.150032,65.203156,65.953156,46.330837,2257252
2012-12-21,65.934410,65.934410,64.509407,65.475029,45.994961,2285577
2012-12-24,66.000031,66.328156,65.212532,66.028160,46.383522,2243529
2012-12-26,66.028160,66.815659,65.625031,66.356285,46.614033,5144690
2012-12-27,66.618782,66.843781,64.687531,65.165657,45.777634,8465931
2012-12-28,65.268784,66.187531,65.128159,65.868782,46.271568,2514478
2012-12-31,65.831284,67.190659,65.718781,66.890656,46.989410,4420861
2013-01-01,67.312531,67.565659,66.825035,67.012535,47.075031,1926532
2013-01-02,67.256287,68.578156,67.143784,68.390656,48.043133,8893371
2013-01-03,68.925034,68.943787,67.546906,68.128159,47.858730,5325133
2013-01-04,67.950035,70.209412,66.984406,69.590660,48.886108,9928827
2013-01-07,70.387535,70.387535,68.484406,68.690659,48.253872,6531447
2013-01-08,68.643784,68.878159,67.668785,68.353157,48.016796,4208691
2013-01-09,68.437531,69.900032,68.184410,69.487534,48.813656,6606546
2013-01-10,69.787537,70.725037,68.587532,68.896912,48.398777,9403301
2013-01-11,69.168785,69.562531,67.790657,68.334412,48.003624,6511756
2013-01-14,68.915657,69.937531,68.287537,69.543785,48.853184,1733684
2013-01-15,69.112534,70.312538,68.634407,69.796906,49.031002,6267244
2013-01-16,70.265663,70.678162,69.375031,69.918785,49.116611,7520881
2013-01-17,69.571907,71.437538,68.465660,70.575035,49.577621,9748917
2013-01-18,70.734413,74.221909,70.734413,71.934410,50.532555,19841334
2013-01-21,72.103165,73.143784,72.103165,72.750038,51.105515,9022192
2013-01-22,72.750038,72.750038,69.037537,69.365662,48.728058,5927543
2013-01-23,69.525032,70.040657,68.250031,68.615662,48.201195,4705261
2013-01-24,68.840660,69.290657,65.015656,65.531281,46.034481,12489567
2013-01-25,65.981285,66.853157,65.175034,66.290657,46.567924,4206307
